Word	JDIC Sequence Number	Reading	Kanji	Parts of Speech	Meanings	Related Words
一つ	1160820	ひとつ	一	numeric, noun, adverbial noun	1: one<br><br>1: for one thing<br><br>1: only<br><br>1: (not) even<br><br>1: just (e.g. "just try it")	
二つ	1461160	ふたつ	二	numeric	1: two	
三つ	1299740	みっつ	三	numeric	1: three	
四つ	1307040	よっつ	四	numeric	1: four	
五つ	1268070	いつつ	五	numeric	1: five	
六つ	1585315	むっつ	六	numeric	1: six	
七つ	1319220	ななつ	七	numeric	1: seven	
八つ	1583095	やっつ	八	numeric	1: eight	
九つ	1243600	ここのつ	九	numeric	1: nine	
口	1275640	くち	口	noun, suffix, counter	1: mouth<br><br>1: opening<br>2: hole<br>3: gap<br>4: orifice<br><br>1: mouth (of a bottle)<br>2: spout<br>3: nozzle<br>4: mouthpiece<br><br>1: gate<br>2: door<br>3: entrance<br>4: exit<br><br>1: speaking<br>2: speech<br>3: talk (i.e. gossip)<br><br>1: taste<br>2: palate<br><br>1: mouth (to feed)<br><br>1: opening (i.e. vacancy)<br>2: available position<br><br>1: invitation<br>2: summons<br><br>1: kind<br>2: sort<br>3: type<br><br>1: opening (i.e. beginning)<br><br>1: counter for mouthfuls, shares (of money), and swords	口を利く・1; 口に合う; 働き口; 口がかかる
日	1463770	ひ	日	adverbial noun	1: day<br>2: days<br><br>1: sun<br>2: sunshine<br>3: sunlight<br><br>1: case (esp. unfortunate)<br>2: event	
月	1255430	つき	月	noun	1: moon<br><br>1: month	
田	1442730	た	田	noun	1: rice field	
目	1604890	め	目	noun, suffix	1: eye<br>2: eyeball<br><br>1: eyesight<br>2: sight<br>3: vision<br><br>1: look<br>2: stare<br>3: glance<br><br>1: an experience<br><br>1: viewpoint<br><br>1: stitch<br>2: texture<br>3: weave<br><br>1: ordinal number suffix<br><br>1: somewhat<br>2: -ish	目が見える; 編み目; 大きめ
古い	1265070	ふるい	古	adjective	1: old (not person)<br>2: aged<br>3: ancient<br>4: antiquated<br>5: stale<br>6: threadbare<br>7: outmoded<br>8: obsolete article	
冒す	1519820	おかす	冒	Godan verb with `su' ending, transitive verb	1: to brave<br>2: to risk<br>3: to face<br>4: to venture<br><br>1: to harm<br>2: to afflict<br>3: to affect<br><br>1: to desecrate<br>2: to profane<br><br>1: to assume (someone else's surname)<br>2: to take	
明かす	1532220	あかす	明	Godan verb with `su' ending, transitive verb	1: to pass (e.g. the night)<br>2: to spend<br><br>1: to reveal<br>2: to divulge	語り明かす
明くる	1532250	あくる	明	pre-noun adjectival	1: next<br>2: following	
明らか	1532310	あきらか	明	adjectival nouns or quasi-adjectives, noun	1: obvious<br>2: evident<br>3: clear<br>4: plain	
明らむ	1532340	あからむ	明	Godan verb with `mu' ending, intransitive verb	1: to become luminous at dawn (esp. the sky)	
明るい	1532350	あかるい	明	adjective	1: bright<br>2: colourful<br><br>1: cheerful<br><br>1: familiar (with)<br>2: knowledgeable (about)<br><br>1: fair (e.g. politics)<br>2: clean	
明かり	1586210	あかり	明	noun	1: light<br>2: illumination<br>3: glow<br>4: gleam<br><br>1: lamp<br>2: light	明かりを消す
明るむ	1628200	あかるむ	明	Godan verb with `mu' ending, intransitive verb	1: to brighten<br>2: to be refreshed	
唱える	1347490	となえる	唱	Ichidan verb, transitive verb	1: to recite<br>2: to chant<br><br>1: to cry<br>2: to yell<br>3: to shout<br><br>1: to advocate<br>2: to advance<br>3: to preach<br>4: to insist	
品	1583470	しな	品	noun	1: article<br>2: item<br>3: thing<br>4: goods<br>5: stock<br><br>1: quality<br><br>1: flirtatiousness<br>2: coquetry	科を作る
早まる	1400170	はやまる	早	Godan verb with `ru' ending, intransitive verb	1: to move ahead (three hours, etc.)<br>2: to move up<br><br>1: to quicken<br>2: to speed up<br>3: to gather speed<br><br>1: to be hasty<br>2: to be rash	
早い	1404975	はやい	早	adjective	1: fast<br>2: quick<br>3: hasty<br>4: brisk<br><br>1: early (in the day, etc.)<br>2: premature<br><br>1: (too) soon<br>2: not yet<br>3: (too) early<br><br>1: easy<br>2: simple<br>3: quick	手っ取り早い・1
早める	1601080	はやめる	早	Ichidan verb, transitive verb	1: to hasten<br>2: to quicken<br>3: to expedite<br>4: to precipitate<br>5: to accelerate	
早	1956580	はや	早	noun	1: already<br>2: now<br>3: by this time	
世	1605810	よ	世	noun	1: world<br>2: society<br>3: age<br>4: generation	
凹む	1179200	へこむ	凹	Godan verb with `mu' ending	1: to be dented<br>2: to be indented<br>3: to yield to<br>4: to give<br>5: to sink<br>6: to collapse<br>7: to cave in<br><br>1: to be overwhelmed<br>2: to feel down<br>3: to be forced to yield<br>4: to be daunted<br>5: to be snubbed	
凸	2231140	でこ	凸	noun	1: brow<br>2: forehead<br><br>1: bump	お凸・1
自ずから	1317330	おのずから	自	adverb	1: naturally<br>2: as a matter of course	
自ら	1317340	みずから	自	adverbial noun	1: for one's self<br>2: personally	
自ずと	2007530	おのずと	自	adverb	1: naturally	
白	1474900	しろ	白	noun	1: white<br><br>1: innocence<br>2: innocent person<br><br>1: blank space<br><br>1: white go stone<br><br>1: white dragon tile (mahjong)<br><br>1: skewered grilled pig intestine	黒・1
白い	1474910	しろい	白	adjective	1: white	
中	1423310	なか	中	noun	1: inside<br>2: in<br><br>1: among<br>2: within<br><br>1: center (centre)<br>2: middle<br><br>1: during<br>2: while	
舌	1387010	した	舌	noun	1: tongue<br><br>1: tongue-like object<br>2: clapper (of a bell)<br>3: talon (of a lock)	
升	1346290	ます	升	noun	1: measuring container<br>2: measure<br><br>1: box (seating at a theatre, etc.)<br><br>1: square on a grid<br>2: cell of a grid<br><br>1: square bearing block (at the top of a pillar)	
