Word	JDIC Sequence Number	Reading	Kanji	Parts of Speech	Meanings	Related Words
此の	1582920	この	此	pre-noun adjectival	1: this (something or someone close to the speaker (including the speaker), or ideas expressed by the speaker)	何の・どの; 此れ・1; 其の・1; 彼の
此れ	1628530	これ	此	pronoun	1: this (indicating an item near the speaker, the action of the speaker, or the current topic)<br><br>1: this person (usu. indicating someone in one's in-group)<br><br>1: now<br><br>1: here<br><br>1: I (me)<br><br>1: certainly	何れ・1; 其れ・1; 彼・あれ・1
柴	1956360	しば	柴	noun	1: brushwood<br>2: firewood	
砦	1295240	とりで	砦	noun	1: fort<br>2: fortress<br>3: stronghold<br>4: fortification	
些と	1007550	ちっと	些	adverb	1: a little bit<br><br>1: a little while	
髭	1601810	ひげ	髭	noun	1: moustache<br>2: beard<br>3: whiskers<br><br>1: extremely short pulse appearing on an electrical signal	口髭; 顎鬚; 頬髯
鱗	1555890	うろこ	鱗	noun	1: scale (of fish)<br><br>1: serif (on kana or kanji (e.g. in Mincho font))	
庵	1154280	いおり	庵	noun, noun, used as a suffix	1: hermitage<br>2: retreat	
俺	1576870	おれ	俺	pronoun, nouns which may take the genitive case particle `no'	1: I<br>2: me	
臼	1172280	うす	臼	noun	1: millstone<br>2: mortar	
舅	1571280	しゅうと	舅	noun	1: father-in-law	姑
鼠	1397840	ねずみ	鼠	noun	1: mouse<br>2: rat<br><br>1: dark gray<br>2: dark grey<br>3: slate (color, colour)	鼠色
鑿	1573920	のみ	鑿	noun	1: chisel	
毀つ	1877300	こぼつ	毀	Godan verb with `tsu' ending, transitive verb	1: to destroy<br>2: to break<br>3: to damage	
毀れる	2261940	こぼれる	毀	Ichidan verb, transitive verb	1: to be chipped<br>2: to be nicked	
畷	2525400	なわて	畷	noun	1: footpath between rice fields	
綴じる	1433770	とじる	綴	Ichidan verb, transitive verb	1: to bind<br>2: to file<br><br>1: to top with egg (e.g. donburi)	丼・どんぶり・2
綴る	1433780	つづる	綴	Godan verb with `ru' ending, transitive verb	1: to spell<br><br>1: to compose<br>2: to frame<br>3: to write<br><br>1: to bind together (e.g. the pages of a book)<br>2: to sew up<br>3: to stitch together<br>4: to patch	
綴	1598030	つづり	綴	noun	1: spelling<br><br>1: orthography<br><br>1: patching<br>2: binding	
爾	2174500	おれ	爾	noun	1: you	
鎧	1204740	よろい	鎧	noun	1: armor<br>2: armour	
鎧う	2733150	よろう	鎧	Godan verb with `u' ending	1: to put on armour (armor)<br>2: to wear armour<br>3: to arm oneself<br><br>1: to wear<br>2: to cover	
韮	1467090	にら	韮	noun	1: Chinese chive<br>2: garlic chive (Allium tuberosum)	
籤	1570360	くじ	籤	noun	1: lottery<br>2: lot	
雛	1373400	ひな	雛	noun	1: young bird<br>2: chick<br><br>1: doll<br><br>1: green<br>2: wet behind the ears<br>3: juvenile	
尤も	1535810	もっとも	尤	conjunction, adjectival nouns or quasi-adjectives, noun	1: but then<br>2: although<br>3: though<br><br>1: reasonable<br>2: natural<br>3: just	
或	1586840	ある	或	pre-noun adjectival	1: a certain ...<br>2: some ...	
或いは	1586850	あるいは	或	adverb, conjunction, expressions	1: or<br>2: possibly	
斬る	1304400	きる	斬	Godan verb with `ru' ending, transitive verb	1: to kill (a human) using a blade (sword, machete, knife, etc.)<br>2: to slice (off)<br>3: to lop (off)<br>4: to cut (off)	
兎	1443970	うさぎ	兎	noun	1: rabbit<br>2: hare<br>3: coney<br>4: cony<br>5: lagomorph (esp. leporids)	
也	1536290	なり	也	auxiliary verb, noun, suffix	1: to be (an affirmation)<br><br>1: to be (location)<br><br>1: sum of money (used to express an exact sum on a receipt, envelope, certificate, etc.)	なる・1
巴	1470870	ともえ	巴	noun	1: huge comma design	
菫	2066600	すみれ	菫	noun	1: violet (any flower of genus Viola, esp. the Fuji dawn, Viola mandshurica)	
侠	1233960	きゃん	侠	adjectival nouns or quasi-adjectives, noun	1: tomboy<br>2: bobby soxer<br>3: flapper	
倦む	1578290	あぐむ	倦	Godan verb with `mu' ending, intransitive verb	1: to get tired of (doing)<br>2: to lose interest in	
倦ねる	2024820	あぐねる	倦	Ichidan verb	1: to tire of<br>2: to lose interest in<br>3: to be too much for one<br>4: to find unmanageable<br>5: to be beyond one's control<br>6: to not know what to do with	
俄	1599920	にわか	俄	adjectival nouns or quasi-adjectives, nouns which may take the genitive case particle `no', noun	1: sudden<br>2: abrupt<br>3: unexpected<br>4: improvised<br>5: hasty,offhand<br><br>1: impromptu skit	俄狂言
佃	1581870	つくだ	佃	noun	1: cultivated rice field	
仔	2788170	こ	仔	noun, noun, used as a suffix	1: young (animal)	子・こ・2
仇	1577910	あだ	仇	noun	1: foe<br>2: enemy<br>3: rival<br><br>1: resentment<br>2: enmity<br>3: grudge<br><br>1: harm<br>2: injury	
伽	1189430	とぎ	伽	noun	1: nursing<br>2: nurse<br>3: attending<br>4: attendant<br>5: entertainer	
僅か	1240750	わずか	僅	adjectival nouns or quasi-adjectives, adverb, noun	1: only<br>2: merely<br>3: (a) little<br>4: small quantity	
僻む	1509110	ひがむ	僻	Godan verb with `mu' ending	1: to be prejudiced<br>2: to be soured<br><br>1: to have an inferiority complex<br><br>1: to be jealous	
僻する	2760990	へきする	僻	suru verb - special class, intransitive verb	1: to lean to one side<br><br>1: to be warped	
儲かる	1534490	もうかる	儲	Godan verb with `ru' ending, intransitive verb	1: to be profitable<br>2: to yield a profit	
儲ける	1534500	もうける	儲	Ichidan verb, transitive verb	1: to profit<br>2: to get<br>3: to earn<br>4: to gain<br><br>1: to have (bear, beget) a child<br><br>1: to have a stroke of luck	
儲け	1605070	もうけ	儲	noun	1: profit<br>2: earnings	
偲ぶ	1321590	しのぶ	偲	Godan verb with `bu' ending, transitive verb	1: to recollect<br>2: to remember<br>3: to reminisce<br>4: to be nostalgic for	
倅	1585440	せがれ	倅	noun	1: son<br><br>1: punk<br>2: brat<br><br>1: penis	
凄い	1374550	すごい	凄	adjective	1: terrible<br>2: dreadful<br><br>1: amazing (e.g. of strength)<br>2: great (e.g. of skills)<br>3: wonderful<br>4: terrific<br><br>1: to a great extent<br>2: vast (in numbers)	
