Kanji	On'yomi	Kun'yomi	Jinmeiyo	Grade	Stroke Count	Heisig	Heisig 6th	Newspaper Frequency	Meanings	Heisig Keyword
一	イチ, イツ	ひと-, ひと.つ	かず, い, いっ, いる, かつ, かづ, てん, はじめ, ひ, ひとつ, まこと	1	1	1	1	2	one, one radical (no.1)	one
二	ニ, ジ	ふた, ふた.つ, ふたたび	おと, つぐ, つぎ, にい, は, ふ, ふたつ, ふだ, わ	1	2	2	2	9	two, two radical (no.2)	two
三	サン, ゾウ	み, み.つ, みっ.つ	か, さ, さい, さえ, さぶ, ざ, ざえ, ざぶ, そう, ぞ, ただ, みつ, みん, も, や	1	3	3	3	14	three	three
四	シ	よ, よ.つ, よっ.つ, よん	あ, つ, よつ	1	5	4	4	47	four	four
五	ゴ	いつ, いつ.つ	い, さ, さつ, ち, ふ, み, め	1	4	5	5	31	five	five
六	ロク, リク	む, む.つ, むっ.つ, むい	く, むつ, ろっ, ろつ	1	4	6	6	93	six	six
七	シチ	なな, なな.つ, なの	し, しっ, な, ひち	1	2	7	7	115	seven	seven
八	ハチ	や, や.つ, やっ.つ, よう	な, は, はっ, はつ, やち, やつ	1	2	8	8	92	eight, eight radical (no. 12)	eight
九	キュウ, ク	ここの, ここの.つ	いちじく, いちのく, この, ひさし	1	2	9	9	55	nine	nine
十	ジュウ, ジッ, ジュッ	とお, と	い, か, ぎ, さ, し, そ, そう, ち, とう, ね, ま, る, わ	1	2	10	10	8	ten	ten
口	コウ, ク	くち		1	3	11	11	284	mouth	mouth
日	ニチ, ジツ	ひ, -び, -か	あ, あき, いる, く, くさ, こう, す, たち, に, にっ, につ, へ	1	4	12	12	1	day, sun, Japan, counter for days	day
月	ゲツ, ガツ	つき	おと, がっ, す, ずき, もり	1	4	13	13	23	month, moon	month
田	デン	た	いなか, おか, たん, で, とう, や	1	5	14	14	90	rice field, rice paddy	rice field
目	モク, ボク	め, -め, ま-	さかん, さがん, さっか, さつか	1	5	15	15	76	eye, class, look, insight, experience, care, favor	eye
古	コ	ふる.い, ふる-, -ふる.す	ふゆ	2	5	16	16	509	old	old
吾	ゴ	われ, わが-, あ-	あ, あが	9	7	17	17	1828	I, my, our, one's own	I
冒	ボウ	おか.す		8	9	18	18	1317	risk, face, defy, dare, damage, assume (a name)	risk
朋	ホウ	とも		9	8	19	19	2039	companion, friend	companion
明	メイ, ミョウ, ミン	あ.かり, あか.るい, あか.るむ, あか.らむ, あき.らか, あ.ける, -あ.け, あ.く, あ.くる, あ.かす	あきら, あけ, あす, きら, け, さや, さやか, とし, はる, み, め	2	8	20	20	67	bright, light	bright
唱	ショウ	とな.える		4	11	21	21	1123	chant, recite, call upon, yell	chant
晶	ショウ		あ, あき, あきら, ひかり, まさ	8	12	22	22	1613	sparkle, clear, crystal	sparkle
品	ヒン, ホン	しな		3	9	23	23	225	goods, refinement, dignity, article, counter for meal courses	goods
呂	ロ, リョ	せぼね	とも, なが	8	7	24	24	2055	spine, backbone	spine
