糎: センチメートル
竡: ヘクトリットル
竰: センチリットル
粨: ヘクトメートル
譫: うるさくしゃべ.る
鯢: さんしょううお
丵: くさのむらがり
噡: うるさくしゃべ.る
囫: はっきりしない
埤: ひくいひめがき
孁: おんなのあざな
宯: きがあがりむす
幋: あたまのかざり
幑: めじるしのぬの
廎: いえのかたわら
恈: むさぼりおしむ
惂: うれえくるしむ
搩: てでものをはか.る
敐: よろこんでうご.く
曃: あきらかでない
殹: うちあたるこえ
漶: はっきりしない
眵: まなじりをいた.める
睲: ひとみがかがや.く
緌: かんむりのひも
纁: うすいあかいろ
荇: はなじゅんさい
莕: はなじゅんさい
蜺: つくつくぼうし
蟪: つくつくぼうし
訞: あやしいことば
譞: おおくものいう
讜: ただしいことば
鈮: いとまきのあし
鉨: いとまきのあし
銊: のこぎりのおと
鎴: すとろんしうむ
鏄: てつのかたまり
鐈: たかあしのなべ
鐴: からすきのみみ
黲: うすあおぐろい
龏: ともしびおおい
咅: つばをはいていな.む
妮: やわらかくまつは.る
嵪: やせてかたいつち
帇: てわざがすばやい
弙: ゆみをはってねら.う
弡: つよくいさましい
灥: たくさんのいずみ
訵: ひそかにうかがい.しる
鉽: かなえのつきもの
鎘: かなえのつきもの
閞: はしらのますがた
陗: まっすぐでたかい
韎: あかねぞめのかわ
僙: たけだけしいさま
呴: いきをかけてあたた.める
娍: すらりとしてみめよ.い
孒: ひだりのうでがない
忇: こうろうがおおきい
榺: はたけのいしをかつ.ぐ
葠: ちょうせんにんじん
薓: ちょうせんにんじん
誗: ことばがうるわしい
梈: きでつくつたおおゆみ
娗: すらりとしてみめよい
寏: ぐるりとめぐらしたかき
朎: つきのうつくしいひかり
褠: ひとえのつつそでうでぬき
鞼: ぬいとりをしたなめしがわ
